"customer_ID","plan"
10081359,"0012002"
10051914,"1133121"
10070621,"1011022"
10109424,"1033114"
10114913,"0013001"
10138890,"1123022"
10077301,"1112114"
10123920,"2123132"
10069580,"1133111"
10014054,"1033022"
10049894,"1133012"
10034611,"2033012"
10106993,"1111022"
10131847,"1133114"
10140406,"1133022"
10070617,"0012011"
10128543,"0122002"
10049586,"1011022"
10011038,"2011031"
10057216,"2133134"
10075985,"1111024"
10050921,"1113012"
10014814,"1122111"
10043918,"1132122"
10009993,"1111122"
10071541,"1122012"
10024362,"1122021"
10052548,"0132002"
10138764,"1022114"
10137534,"0023002"
10126711,"1112121"
10146504,"0133002"
10045203,"1111022"
10057950,"1011022"
10023938,"1111022"
10104075,"1111013"
10052225,"1122112"
10090249,"2033022"
10040793,"1123122"
10005402,"1111021"
10026554,"0043004"
10040669,"1012021"
10004205,"1011012"
10054495,"2122012"
10044460,"1133121"
10061697,"1133122"
10089674,"1133123"
10101908,"1111022"
10059914,"1111113"
10051188,"0033002"
10071077,"0111002"
10037483,"2011032"
10148257,"0011002"
10035183,"1133022"
10023808,"2111122"
10081864,"0011002"
10119464,"1143122"
10115263,"1011022"
10150129,"1143124"
10006628,"1111122"
10110465,"1021021"
10144138,"0111002"
10091653,"1011012"
10008250,"0111002"
10104116,"0122004"
10121451,"0012002"
10099821,"1133022"
10056778,"0122003"
10070746,"0123004"
10069496,"0011002"
10120696,"0011002"
10151198,"1011022"
10060744,"1043014"
10145579,"1122003"
10130248,"1112124"
10114869,"1112122"
10111940,"1121023"
10037909,"1122122"
10051556,"1112122"
10089973,"0012002"
10038685,"1122112"
10029468,"1122121"
10018732,"1111112"
10047095,"1143021"
10086875,"1112124"
10026362,"0023001"
10010080,"1133111"
10098034,"1123111"
10127641,"1011023"
10044676,"1112021"
10055833,"1112022"
10082258,"1113122"
10144746,"1033011"
10076652,"2111132"
10026491,"0112002"
10130637,"0123002"
10080928,"0043002"
10071418,"1133111"
10013490,"0011002"
10062244,"2122032"
10142527,"1143111"
10114962,"1133002"
10043743,"1133111"
10036776,"0011002"
10063889,"1112112"
10074987,"0011002"
10078356,"1133112"
10069468,"1013022"
10004940,"0112002"
10145751,"1133114"
10091055,"1132114"
10015094,"0011002"
10043776,"1033024"
10111904,"1132122"
10039622,"1133122"
10005190,"1133123"
10017928,"0011002"
10015879,"1022013"
10034724,"1011022"
10061674,"2143112"
10123953,"1133111"
10063759,"1133122"
10016250,"1113121"
10106109,"1122024"
10073482,"0112002"
10079109,"0111002"
10122503,"0033001"
10141467,"1011022"
10120361,"1033124"
10063325,"0111003"
10048285,"0112003"
10134389,"1123021"
10121125,"2123132"
10149248,"0012001"
10131634,"1112122"
10045634,"0012004"
10010420,"0123004"
10109025,"0111002"
10114911,"1143122"
